Date,"Jurgen Klopp"
2018-07-31,75
2018-08-01,43
2018-08-02,43
2018-08-03,44
2018-08-04,37
2018-08-05,48
2018-08-06,73
2018-08-07,43
2018-08-08,63
2018-08-09,59
2018-08-10,54
2018-08-11,43
2018-08-12,111
2018-08-13,81
2018-08-14,74
2018-08-15,74
2018-08-16,68
2018-08-17,64
2018-08-18,56
2018-08-19,61
2018-08-20,98
2018-08-21,96
2018-08-22,71
2018-08-23,69
2018-08-24,105
2018-08-25,66
2018-08-26,58
2018-08-27,64
2018-08-28,86
2018-08-29,59
2018-08-30,40
2018-08-31,61
2018-09-01,65
2018-09-02,46
2018-09-03,40
2018-09-04,42
2018-09-05,24
2018-09-06,24
2018-09-07,27
2018-09-08,22
2018-09-09,19
2018-09-10,23
2018-09-11,25
2018-09-12,17
2018-09-13,32
2018-09-14,42
2018-09-15,64
2018-09-16,61
2018-09-17,62
2018-09-18,119
2018-09-19,94
2018-09-20,42
2018-09-21,54
2018-09-22,84
2018-09-23,51
2018-09-24,54
2018-09-25,49
2018-09-26,71
2018-09-27,38
2018-09-28,42
2018-09-29,66
2018-09-30,54
2018-10-01,48
2018-10-02,52
2018-10-03,61
2018-10-04,47
2018-10-05,45
2018-10-06,56
2018-10-07,90
2018-10-08,78
2018-10-09,47
2018-10-10,44
2018-10-11,38
2018-10-12,34
2018-10-13,25
2018-10-14,34
2018-10-15,26
2018-10-16,22
2018-10-17,35
2018-10-18,20
2018-10-19,25
2018-10-20,67
2018-10-21,33
2018-10-22,44
2018-10-23,42
2018-10-24,60
2018-10-25,56
2018-10-26,41
2018-10-27,38
2018-10-28,37
2018-10-29,38
2018-10-30,45
2018-10-31,41
2018-11-01,42
2018-11-02,37
2018-11-03,70
2018-11-04,34
2018-11-05,46
2018-11-06,59
2018-11-07,36
2018-11-08,41
2018-11-09,30
2018-11-10,34
2018-11-11,35
2018-11-12,26
2018-11-13,29
2018-11-14,45
2018-11-15,34
2018-11-16,25
2018-11-17,17
2018-11-18,19
2018-11-19,20
2018-11-20,24
2018-11-21,27
2018-11-22,27
2018-11-23,33
2018-11-24,27
2018-11-25,43
2018-11-26,29
2018-11-27,35
2018-11-28,116
2018-11-29,63
2018-11-30,41
2018-12-01,29
2018-12-02,77
2018-12-03,100
2018-12-04,72
2018-12-05,80
2018-12-06,84
2018-12-07,49
2018-12-08,68
2018-12-09,57
2018-12-10,60
2018-12-11,81
2018-12-12,106
2018-12-13,52
2018-12-14,69
2018-12-15,73
2018-12-16,173
2018-12-17,173
2018-12-18,341
2018-12-19,274
2018-12-20,149
2018-12-21,119
2018-12-22,102
2018-12-23,91
2018-12-24,72
2018-12-25,75
2018-12-26,124
2018-12-27,141
2018-12-28,93
2018-12-29,204
2018-12-30,139
2018-12-31,96
2019-01-01,75
2019-01-02,124
2019-01-03,245
2019-01-04,104
2019-01-05,59
2019-01-06,51
2019-01-07,119
2019-01-08,97
2019-01-09,49
2019-01-10,63
2019-01-11,66
2019-01-12,89
2019-01-13,52
2019-01-14,62
2019-01-15,47
2019-01-16,30
2019-01-17,45
2019-01-18,65
2019-01-19,72
2019-01-20,74
2019-01-21,65
2019-01-22,44
2019-01-23,47
2019-01-24,48
2019-01-25,43
2019-01-26,31
2019-01-27,36
2019-01-28,41
2019-01-29,89
2019-01-30,94
2019-01-31,55
2019-02-01,31
2019-02-02,44
2019-02-03,45
2019-02-04,61
2019-02-05,80
2019-02-06,42
2019-02-07,32
2019-02-08,39
2019-02-09,48
2019-02-10,54
2019-02-11,52
2019-02-12,50
2019-02-13,42
2019-02-14,47
2019-02-15,55
2019-02-16,37
2019-02-17,28
2019-02-18,36
2019-02-19,97
2019-02-20,58
2019-02-21,39
2019-02-22,39
2019-02-23,41
2019-02-24,79
2019-02-25,44
2019-02-26,72
2019-02-27,50
2019-02-28,48
2019-03-01,37
2019-03-02,30
2019-03-03,65
2019-03-04,82
2019-03-05,47
2019-03-06,76
2019-03-07,54
2019-03-08,33
2019-03-09,37
2019-03-10,45
2019-03-11,48
2019-03-12,43
2019-03-13,123
2019-03-14,103
2019-03-15,83
2019-03-16,45
2019-03-17,76
2019-03-18,64
2019-03-19,65
2019-03-20,43
2019-03-21,30
2019-03-22,23
2019-03-23,22
2019-03-24,18
2019-03-25,26
2019-03-26,32
2019-03-27,27
2019-03-28,35
2019-03-29,27
2019-03-30,30
2019-03-31,75
2019-04-01,65
2019-04-02,57
2019-04-03,57
2019-04-04,41
2019-04-05,95
2019-04-06,59
2019-04-07,37
2019-04-08,49
2019-04-09,91
2019-04-10,70
2019-04-11,50
2019-04-12,50
2019-04-13,35
2019-04-14,100
2019-04-15,97
2019-04-16,77
2019-04-17,106
2019-04-18,123
2019-04-19,78
2019-04-20,70
2019-04-21,122
2019-04-22,123
2019-04-23,94
2019-04-24,85
2019-04-25,93
2019-04-26,181
2019-04-27,132
2019-04-28,102
2019-04-29,90
2019-04-30,92
2019-05-01,178
2019-05-02,151
2019-05-03,84
2019-05-04,77
2019-05-05,83
2019-05-06,110
2019-05-07,364
2019-05-08,918
2019-05-09,430
2019-05-10,260
2019-05-11,187
2019-05-12,296
2019-05-13,282
2019-05-14,150
2019-05-15,121
2019-05-16,95
2019-05-17,101
2019-05-18,72
2019-05-19,58
2019-05-20,57
2019-05-21,69
2019-05-22,72
2019-05-23,67
